id;instructor_name;description;address;phone_no;grade;user_id
1;negative preservation elicit;faraway joshingly loyally;inquisitively fooey;pan;16468;6068
2;unrealistic;powerfully;times save deep;organic royal;7331;25174
3;scientific because;vital club ford;until behind throughout;because woot;26240;7185
4;squiggly physically;quarrelsome whenever sparkling;luck;nor as;26082;28752
5;jittery;until;wonderful revitalize;blah task impolite;9493;4793
6;upon zowie;ouch powerfully moonwalk;whereas;after ugh underplay;12802;29270
7;spectacular unaccountably;although imbibe;yippee circa brainwash;pfft of ouch;26950;2900
8;yippee;physically phew;nicely;throughout;2944;11942
9;standard as;repulsive before where;velvet;onto after;21368;30167
10;fennel;bath yowza;kiddingly since;atop gah of;19430;22970
